task_type,Technique,block_type,random_seed,Kendall Tau
benzene,CAM,gcn,42,0.7733031587326508
benzene,GradInput,gcn,42,0.10126588983403761
benzene,GradCAM-last,gcn,42,0.6536252889287882
benzene,GradCAM-all,gcn,42,0.35443061441913165
benzene,SmoothGrad(GradInput),gcn,42,0.17951680470579395
benzene,IG,gcn,42,0.49712345918527556
logic7,CAM,gcn,42,0.4850574712643679
logic7,GradInput,gcn,42,0.2689655172413793
logic7,GradCAM-last,gcn,42,0.28735632183908044
logic7,GradCAM-all,gcn,42,0.13563218390804596
logic7,SmoothGrad(GradInput),gcn,42,0.3517241379310345
logic7,IG,gcn,42,0.3517241379310345
logic8,CAM,gcn,42,0.8160919540229885
logic8,GradInput,gcn,42,-0.3977011494252874
logic8,GradCAM-last,gcn,42,0.36551724137931035
logic8,GradCAM-all,gcn,42,0.2735632183908046
logic8,SmoothGrad(GradInput),gcn,42,-0.19080459770114944
logic8,IG,gcn,42,0.4758620689655172
logic10,CAM,gcn,42,0.5402298850574713
logic10,GradInput,gcn,42,-0.02528735632183908
logic10,GradCAM-last,gcn,42,0.4114942528735632
logic10,GradCAM-all,gcn,42,0.44367816091954027
logic10,SmoothGrad(GradInput),gcn,42,0.06206896551724138
logic10,IG,gcn,42,0.5540229885057472
benzene,CAM,graphnet,42,0.1933257896831627
benzene,GradInput,graphnet,42,-0.15189883475105642
benzene,GradCAM-last,graphnet,42,-0.12888385978877515
benzene,GradCAM-all,graphnet,42,0.1657078197284252
benzene,SmoothGrad(GradInput),graphnet,42,-0.2991946745096566
benzene,IG,graphnet,42,0.17951680470579395
logic7,CAM,graphnet,42,-0.39310344827586213
logic7,GradInput,graphnet,42,0.02528735632183908
logic7,GradCAM-last,graphnet,42,-0.3885057471264368
logic7,GradCAM-all,graphnet,42,0.2735632183908046
logic7,SmoothGrad(GradInput),graphnet,42,-0.07126436781609195
logic7,IG,graphnet,42,0.37931034482758624
logic8,CAM,graphnet,42,0.48965517241379314
logic8,GradInput,graphnet,42,0.3885057471264368
logic8,GradCAM-last,graphnet,42,0.33793103448275863
logic8,GradCAM-all,graphnet,42,0.5954022988505747
logic8,SmoothGrad(GradInput),graphnet,42,0.3885057471264368
logic8,IG,graphnet,42,0.42528735632183906
logic10,CAM,graphnet,42,0.21379310344827587
logic10,GradInput,graphnet,42,0.07126436781609195
logic10,GradCAM-last,graphnet,42,0.30574712643678165
logic10,GradCAM-all,graphnet,42,0.67816091954023
logic10,SmoothGrad(GradInput),graphnet,42,0.0942528735632184
logic10,IG,graphnet,42,0.48965517241379314
benzene,CAM,mpnn,42,0.8758620689655172
benzene,GradInput,mpnn,42,0.18620689655172415
benzene,GradCAM-last,mpnn,42,0.48965517241379314
benzene,GradCAM-all,mpnn,42,0.5862068965517242
benzene,SmoothGrad(GradInput),mpnn,42,0.26436781609195403
benzene,IG,mpnn,42,0.3425287356321839
logic7,CAM,mpnn,42,0.4114942528735632
logic7,GradInput,mpnn,42,-0.006896551724137931
logic7,GradCAM-last,mpnn,42,0.2689655172413793
logic7,GradCAM-all,mpnn,42,0.2781609195402299
logic7,SmoothGrad(GradInput),mpnn,42,-0.03448275862068966
logic7,IG,mpnn,42,0.19999999999999998
logic8,CAM,mpnn,42,0.7747126436781608
logic8,GradInput,mpnn,42,0.36091954022988504
logic8,GradCAM-last,mpnn,42,0.6367816091954024
logic8,GradCAM-all,mpnn,42,0.4298850574712643
logic8,SmoothGrad(GradInput),mpnn,42,0.36091954022988504
logic8,IG,mpnn,42,0.4344827586206897
logic10,CAM,mpnn,42,0.6045977011494253
logic10,GradInput,mpnn,42,0.2367816091954023
logic10,GradCAM-last,mpnn,42,0.6505747126436782
logic10,GradCAM-all,mpnn,42,0.48045977011494256
logic10,SmoothGrad(GradInput),mpnn,42,0.37931034482758624
logic10,IG,mpnn,42,0.5218390804597701
benzene,GradInput,gcn,43,-0.08571428571428572
benzene,SmoothGrad(GradInput),gcn,43,-0.12380952380952381
benzene,GradCAM-last,gcn,43,0.33333333333333337
benzene,GradCAM-all,gcn,43,0.3523809523809524
benzene,CAM,gcn,43,0.7904761904761906
benzene,IG,gcn,43,0.40952380952380957
benzene,GradInput,gcn,44,0.10476190476190476
benzene,SmoothGrad(GradInput),gcn,44,0.2571428571428572
benzene,GradCAM-last,gcn,44,0.29523809523809524
benzene,GradCAM-all,gcn,44,0.29523809523809524
benzene,CAM,gcn,44,0.6000000000000001
benzene,IG,gcn,44,0.4666666666666667
benzene,GradInput,gcn,45,-0.12380952380952381
benzene,SmoothGrad(GradInput),gcn,45,0.04761904761904762
benzene,GradCAM-last,gcn,45,0.5428571428571429
benzene,GradCAM-all,gcn,45,0.21904761904761905
benzene,CAM,gcn,45,0.6571428571428571
benzene,IG,gcn,45,0.12380952380952381
benzene,GradInput,gcn,46,-0.08571428571428572
benzene,SmoothGrad(GradInput),gcn,46,0.12380952380952381
benzene,GradCAM-last,gcn,46,0.48571428571428577
benzene,GradCAM-all,gcn,46,0.009523809523809525
benzene,CAM,gcn,46,0.6761904761904762
benzene,IG,gcn,46,0.37142857142857144
benzene,GradInput,gcn,47,0.3142857142857143
benzene,SmoothGrad(GradInput),gcn,47,0.40952380952380957
benzene,GradCAM-last,gcn,47,0.561904761904762
benzene,GradCAM-all,gcn,47,0.5428571428571429
benzene,CAM,gcn,47,0.8095238095238096
benzene,IG,gcn,47,0.6952380952380953
benzene,GradInput,gcn,48,-0.04761904761904762
benzene,SmoothGrad(GradInput),gcn,48,-0.028571428571428574
benzene,GradCAM-last,gcn,48,0.48571428571428577
benzene,GradCAM-all,gcn,48,0.20000000000000004
benzene,CAM,gcn,48,0.7142857142857143
benzene,IG,gcn,48,0.4285714285714286
benzene,GradInput,gcn,49,0.009523809523809525
benzene,SmoothGrad(GradInput),gcn,49,-0.028571428571428574
benzene,GradCAM-last,gcn,49,0.009523809523809525
benzene,GradCAM-all,gcn,49,-0.18095238095238098
benzene,CAM,gcn,49,0.7714285714285715
benzene,IG,gcn,49,0.33333333333333337
logic7,GradInput,gcn,43,0.37142857142857144
logic7,SmoothGrad(GradInput),gcn,43,0.2571428571428572
logic7,GradCAM-last,gcn,43,0.3142857142857143
logic7,GradCAM-all,gcn,43,0.3523809523809524
logic7,CAM,gcn,43,0.6190476190476191
logic7,IG,gcn,43,0.3523809523809524
logic7,GradInput,gcn,44,0.21904761904761905
logic7,SmoothGrad(GradInput),gcn,44,0.14285714285714288
logic7,GradCAM-last,gcn,44,0.08571428571428572
logic7,GradCAM-all,gcn,44,-0.04761904761904762
logic7,CAM,gcn,44,0.40952380952380957
logic7,IG,gcn,44,0.3523809523809524
logic7,GradInput,gcn,45,-0.009523809523809525
logic7,SmoothGrad(GradInput),gcn,45,-0.14285714285714288
logic7,GradCAM-last,gcn,45,0.14285714285714288
logic7,GradCAM-all,gcn,45,0.23809523809523814
logic7,CAM,gcn,45,0.580952380952381
logic7,IG,gcn,45,-0.009523809523809525
logic7,GradInput,gcn,46,0.20000000000000004
logic7,SmoothGrad(GradInput),gcn,46,0.40952380952380957
logic7,GradCAM-last,gcn,46,0.4666666666666667
logic7,GradCAM-all,gcn,46,0.4285714285714286
logic7,CAM,gcn,46,0.3142857142857143
logic7,IG,gcn,46,0.2761904761904762
logic7,GradInput,gcn,47,0.2761904761904762
logic7,SmoothGrad(GradInput),gcn,47,0.3904761904761905
logic7,GradCAM-last,gcn,47,0.29523809523809524
logic7,GradCAM-all,gcn,47,-0.06666666666666668
logic7,CAM,gcn,47,0.6380952380952382
logic7,IG,gcn,47,0.08571428571428572
logic7,GradInput,gcn,48,0.14285714285714288
logic7,SmoothGrad(GradInput),gcn,48,0.10476190476190476
logic7,GradCAM-last,gcn,48,0.2571428571428572
logic7,GradCAM-all,gcn,48,0.37142857142857144
logic7,CAM,gcn,48,0.5047619047619049
logic7,IG,gcn,48,-0.20000000000000004
logic7,GradInput,gcn,49,0.04761904761904762
logic7,SmoothGrad(GradInput),gcn,49,0.18095238095238098
logic7,GradCAM-last,gcn,49,0.009523809523809525
logic7,GradCAM-all,gcn,49,0.2571428571428572
logic7,CAM,gcn,49,0.33333333333333337
logic7,IG,gcn,49,0.18095238095238098
logic8,GradInput,gcn,43,0.009523809523809525
logic8,SmoothGrad(GradInput),gcn,43,-0.2571428571428572
logic8,GradCAM-last,gcn,43,0.2571428571428572
logic8,GradCAM-all,gcn,43,-0.08571428571428572
logic8,CAM,gcn,43,0.8095238095238096
logic8,IG,gcn,43,0.29523809523809524
logic8,GradInput,gcn,44,0.5428571428571429
logic8,SmoothGrad(GradInput),gcn,44,0.7333333333333334
logic8,GradCAM-last,gcn,44,0.009523809523809525
logic8,GradCAM-all,gcn,44,-0.009523809523809525
logic8,CAM,gcn,44,0.7904761904761906
logic8,IG,gcn,44,0.1619047619047619
logic8,GradInput,gcn,45,-0.21904761904761905
logic8,SmoothGrad(GradInput),gcn,45,-0.23809523809523814
logic8,GradCAM-last,gcn,45,-0.12380952380952381
logic8,GradCAM-all,gcn,45,-0.20000000000000004
logic8,CAM,gcn,45,0.7904761904761906
logic8,IG,gcn,45,0.6761904761904762
logic8,GradInput,gcn,46,-0.14285714285714288
logic8,SmoothGrad(GradInput),gcn,46,-0.3142857142857143
logic8,GradCAM-last,gcn,46,0.1619047619047619
logic8,GradCAM-all,gcn,46,-0.028571428571428574
logic8,CAM,gcn,46,0.8666666666666667
logic8,IG,gcn,46,0.580952380952381
logic8,GradInput,gcn,47,0.1619047619047619
logic8,SmoothGrad(GradInput),gcn,47,0.009523809523809525
logic8,GradCAM-last,gcn,47,0.14285714285714288
logic8,GradCAM-all,gcn,47,-0.20000000000000004
logic8,CAM,gcn,47,0.7333333333333334
logic8,IG,gcn,47,0.561904761904762
logic8,GradInput,gcn,48,0.2761904761904762
logic8,SmoothGrad(GradInput),gcn,48,-0.028571428571428574
logic8,GradCAM-last,gcn,48,0.580952380952381
logic8,GradCAM-all,gcn,48,0.21904761904761905
logic8,CAM,gcn,48,0.6380952380952382
logic8,IG,gcn,48,0.4476190476190477
logic8,GradInput,gcn,49,0.08571428571428572
logic8,SmoothGrad(GradInput),gcn,49,0.12380952380952381
logic8,GradCAM-last,gcn,49,0.4476190476190477
logic8,GradCAM-all,gcn,49,0.1619047619047619
logic8,CAM,gcn,49,0.8476190476190477
logic8,IG,gcn,49,0.6952380952380953
logic10,GradInput,gcn,43,0.14285714285714288
logic10,SmoothGrad(GradInput),gcn,43,-0.06666666666666668
logic10,GradCAM-last,gcn,43,0.14285714285714288
logic10,GradCAM-all,gcn,43,0.3142857142857143
logic10,CAM,gcn,43,0.6571428571428571
logic10,IG,gcn,43,0.20000000000000004
logic10,GradInput,gcn,44,-0.10476190476190476
logic10,SmoothGrad(GradInput),gcn,44,-0.2571428571428572
logic10,GradCAM-last,gcn,44,-0.08571428571428572
logic10,GradCAM-all,gcn,44,-0.06666666666666668
logic10,CAM,gcn,44,0.580952380952381
logic10,IG,gcn,44,0.3523809523809524
logic10,GradInput,gcn,45,-0.4285714285714286
logic10,SmoothGrad(GradInput),gcn,45,-0.561904761904762
logic10,GradCAM-last,gcn,45,0.18095238095238098
logic10,GradCAM-all,gcn,45,0.2571428571428572
logic10,CAM,gcn,45,0.48571428571428577
logic10,IG,gcn,45,0.37142857142857144
logic10,GradInput,gcn,46,-0.08571428571428572
logic10,SmoothGrad(GradInput),gcn,46,-0.04761904761904762
logic10,GradCAM-last,gcn,46,0.33333333333333337
logic10,GradCAM-all,gcn,46,0.20000000000000004
logic10,CAM,gcn,46,0.4476190476190477
logic10,IG,gcn,46,0.4285714285714286
logic10,GradInput,gcn,47,0.009523809523809525
logic10,SmoothGrad(GradInput),gcn,47,-0.20000000000000004
logic10,GradCAM-last,gcn,47,0.48571428571428577
logic10,GradCAM-all,gcn,47,0.3523809523809524
logic10,CAM,gcn,47,0.5238095238095238
logic10,IG,gcn,47,0.37142857142857144
logic10,GradInput,gcn,48,0.10476190476190476
logic10,SmoothGrad(GradInput),gcn,48,-0.21904761904761905
logic10,GradCAM-last,gcn,48,0.40952380952380957
logic10,GradCAM-all,gcn,48,0.23809523809523814
logic10,CAM,gcn,48,0.561904761904762
logic10,IG,gcn,48,0.37142857142857144
logic10,GradInput,gcn,49,-0.21904761904761905
logic10,SmoothGrad(GradInput),gcn,49,-0.40952380952380957
logic10,GradCAM-last,gcn,49,0.2761904761904762
logic10,GradCAM-all,gcn,49,0.3904761904761905
logic10,CAM,gcn,49,0.4666666666666667
logic10,IG,gcn,49,0.580952380952381
benzene,GradInput,graphnet,43,-0.08571428571428572
benzene,SmoothGrad(GradInput),graphnet,43,0.08571428571428572
benzene,GradCAM-last,graphnet,43,0.2761904761904762
benzene,GradCAM-all,graphnet,43,0.3523809523809524
benzene,CAM,graphnet,43,0.5428571428571429
benzene,IG,graphnet,43,0.08571428571428572
benzene,GradInput,graphnet,44,0.3523809523809524
benzene,SmoothGrad(GradInput),graphnet,44,0.3904761904761905
benzene,GradCAM-last,graphnet,44,-0.1619047619047619
benzene,GradCAM-all,graphnet,44,-0.10476190476190476
benzene,CAM,graphnet,44,0.08571428571428572
benzene,IG,graphnet,44,0.561904761904762
benzene,GradInput,graphnet,45,-0.009523809523809525
benzene,SmoothGrad(GradInput),graphnet,45,0.06666666666666668
benzene,GradCAM-last,graphnet,45,0.2761904761904762
benzene,GradCAM-all,graphnet,45,0.18095238095238098
benzene,CAM,graphnet,45,0.4476190476190477
benzene,IG,graphnet,45,0.3523809523809524
benzene,GradInput,graphnet,46,-0.04761904761904762
benzene,SmoothGrad(GradInput),graphnet,46,-0.08571428571428572
benzene,GradCAM-last,graphnet,46,-0.29523809523809524
benzene,GradCAM-all,graphnet,46,0.08571428571428572
benzene,CAM,graphnet,46,0.10476190476190476
benzene,IG,graphnet,46,0.33333333333333337
benzene,GradInput,graphnet,47,0.3142857142857143
benzene,SmoothGrad(GradInput),graphnet,47,0.37142857142857144
benzene,GradCAM-last,graphnet,47,0.5238095238095238
benzene,GradCAM-all,graphnet,47,0.20000000000000004
benzene,CAM,graphnet,47,0.4476190476190477
benzene,IG,graphnet,47,0.580952380952381
benzene,GradInput,graphnet,48,-0.3523809523809524
benzene,SmoothGrad(GradInput),graphnet,48,-0.2571428571428572
benzene,GradCAM-last,graphnet,48,-0.06666666666666668
benzene,GradCAM-all,graphnet,48,0.14285714285714288
benzene,CAM,graphnet,48,0.2571428571428572
benzene,IG,graphnet,48,0.4666666666666667
benzene,GradInput,graphnet,49,-0.4666666666666667
benzene,SmoothGrad(GradInput),graphnet,49,-0.561904761904762
benzene,GradCAM-last,graphnet,49,-0.10476190476190476
benzene,GradCAM-all,graphnet,49,0.2761904761904762
benzene,CAM,graphnet,49,-0.2571428571428572
benzene,IG,graphnet,49,0.8476190476190477
logic7,GradInput,graphnet,43,0.028571428571428574
logic7,SmoothGrad(GradInput),graphnet,43,-0.10476190476190476
logic7,GradCAM-last,graphnet,43,-0.48571428571428577
logic7,GradCAM-all,graphnet,43,0.561904761904762
logic7,CAM,graphnet,43,-0.4666666666666667
logic7,IG,graphnet,43,0.5047619047619049
logic7,GradInput,graphnet,44,-0.04761904761904762
logic7,SmoothGrad(GradInput),graphnet,44,0.06666666666666668
logic7,GradCAM-last,graphnet,44,-0.6380952380952382
logic7,GradCAM-all,graphnet,44,0.6761904761904762
logic7,CAM,graphnet,44,-0.6000000000000001
logic7,IG,graphnet,44,0.3142857142857143
logic7,GradInput,graphnet,45,-0.3523809523809524
logic7,SmoothGrad(GradInput),graphnet,45,-0.29523809523809524
logic7,GradCAM-last,graphnet,45,-0.6190476190476191
logic7,GradCAM-all,graphnet,45,0.6000000000000001
logic7,CAM,graphnet,45,-0.6761904761904762
logic7,IG,graphnet,45,0.3142857142857143
logic7,GradInput,graphnet,46,-0.12380952380952381
logic7,SmoothGrad(GradInput),graphnet,46,0.009523809523809525
logic7,GradCAM-last,graphnet,46,-0.4666666666666667
logic7,GradCAM-all,graphnet,46,0.4666666666666667
logic7,CAM,graphnet,46,-0.37142857142857144
logic7,IG,graphnet,46,0.3904761904761905
logic7,GradInput,graphnet,47,0.06666666666666668
logic7,SmoothGrad(GradInput),graphnet,47,0.2571428571428572
logic7,GradCAM-last,graphnet,47,-0.33333333333333337
logic7,GradCAM-all,graphnet,47,0.3523809523809524
logic7,CAM,graphnet,47,-0.3523809523809524
logic7,IG,graphnet,47,0.2761904761904762
logic7,GradInput,graphnet,48,0.6761904761904762
logic7,SmoothGrad(GradInput),graphnet,48,0.6190476190476191
logic7,GradCAM-last,graphnet,48,-0.6190476190476191
logic7,GradCAM-all,graphnet,48,0.40952380952380957
logic7,CAM,graphnet,48,-0.6190476190476191
logic7,IG,graphnet,48,0.4476190476190477
logic7,GradInput,graphnet,49,0.18095238095238098
logic7,SmoothGrad(GradInput),graphnet,49,0.21904761904761905
logic7,GradCAM-last,graphnet,49,-0.4285714285714286
logic7,GradCAM-all,graphnet,49,0.48571428571428577
logic7,CAM,graphnet,49,-0.6000000000000001
logic7,IG,graphnet,49,-0.14285714285714288
logic8,GradInput,graphnet,43,0.4666666666666667
logic8,SmoothGrad(GradInput),graphnet,43,0.561904761904762
logic8,GradCAM-last,graphnet,43,0.23809523809523814
logic8,GradCAM-all,graphnet,43,0.3523809523809524
logic8,CAM,graphnet,43,0.6000000000000001
logic8,IG,graphnet,43,0.6952380952380953
logic8,GradInput,graphnet,44,0.561904761904762
logic8,SmoothGrad(GradInput),graphnet,44,0.5428571428571429
logic8,GradCAM-last,graphnet,44,0.33333333333333337
logic8,GradCAM-all,graphnet,44,0.12380952380952381
logic8,CAM,graphnet,44,0.6000000000000001
logic8,IG,graphnet,44,0.33333333333333337
logic8,GradInput,graphnet,45,0.40952380952380957
logic8,SmoothGrad(GradInput),graphnet,45,0.6000000000000001
logic8,GradCAM-last,graphnet,45,0.3142857142857143
logic8,GradCAM-all,graphnet,45,-0.12380952380952381
logic8,CAM,graphnet,45,0.6000000000000001
logic8,IG,graphnet,45,0.4666666666666667
