Technique,Model,task_type,random_seed,parc
CAM,gcn,ester-benzene,42,0.3533333333333333
CAM,gcn,ester-benzene,43,0.6399999999999998
CAM,gcn,ester-benzene,44,0.4599999999999999
CAM,gcn,ester-benzene,45,0.25333333333333324
CAM,gcn,ester-benzene,46,0.7199999999999999
CAM,gcn,ester-benzene,47,0.5933333333333333
CAM,gcn,ester-benzene,48,0.5399999999999999
CAM,gcn,ester-benzene,49,0.2866666666666666
CAM,gcn,ester-benzene,50,0.5866666666666666
CAM,gcn,ester-benzene,51,0.4999999999999999
CAM,gcn,ester-phenyl,42,0.12666666666666662
CAM,gcn,ester-phenyl,43,0.24666666666666665
CAM,gcn,ester-phenyl,44,0.46666666666666656
CAM,gcn,ester-phenyl,45,0.5866666666666666
CAM,gcn,ester-phenyl,46,0.6066666666666666
CAM,gcn,ester-phenyl,47,0.4999999999999999
CAM,gcn,ester-phenyl,48,0.6533333333333332
CAM,gcn,ester-phenyl,49,0.6533333333333332
CAM,gcn,ester-phenyl,50,0.37999999999999995
CAM,gcn,ester-phenyl,51,0.4599999999999999
CAM,gcn,morpholine-benzene,42,0.2536231884057971
CAM,gcn,morpholine-benzene,43,-0.05333333333333332
CAM,gcn,morpholine-benzene,44,0.2133333333333333
CAM,gcn,morpholine-benzene,45,0.10666666666666665
CAM,gcn,morpholine-benzene,46,0.39333333333333326
CAM,gcn,morpholine-benzene,47,0.08666666666666664
CAM,gcn,morpholine-benzene,48,0.19999999999999996
CAM,gcn,morpholine-benzene,49,0.11333333333333331
CAM,gcn,morpholine-benzene,50,0.18666666666666662
CAM,gcn,morpholine-benzene,51,0.10666666666666665
CAM,gcn,piperdine-benzene,42,0.4599999999999999
CAM,gcn,piperdine-benzene,43,-0.09333333333333331
CAM,gcn,piperdine-benzene,44,0.5933333333333333
CAM,gcn,piperdine-benzene,45,0.525691699604743
CAM,gcn,piperdine-benzene,46,0.42028985507246375
CAM,gcn,piperdine-benzene,47,0.29999999999999993
CAM,gcn,piperdine-benzene,48,0.019999999999999993
CAM,gcn,piperdine-benzene,49,0.4133333333333333
CAM,gcn,piperdine-benzene,50,-0.11333333333333331
CAM,gcn,piperdine-benzene,51,0.17999999999999997
CAM,gcn,unbrch_alkane-benzene,42,0.5133333333333333
CAM,gcn,unbrch_alkane-benzene,43,0.37333333333333324
CAM,gcn,unbrch_alkane-benzene,44,0.6533333333333332
CAM,gcn,unbrch_alkane-benzene,45,0.6133333333333332
CAM,gcn,unbrch_alkane-benzene,46,0.5733333333333333
CAM,gcn,unbrch_alkane-benzene,47,0.4799999999999999
CAM,gcn,unbrch_alkane-benzene,48,0.5066666666666665
CAM,gcn,unbrch_alkane-benzene,49,0.5933333333333333
CAM,gcn,unbrch_alkane-benzene,50,0.2666666666666666
CAM,gcn,unbrch_alkane-benzene,51,0.4599999999999999
CAM,graphnet,ester-benzene,42,-0.046666666666666655
CAM,graphnet,ester-benzene,43,0.033333333333333326
CAM,graphnet,ester-benzene,44,0.2666666666666666
CAM,graphnet,ester-benzene,45,-0.006666666666666665
CAM,graphnet,ester-benzene,46,0.3399999999999999
CAM,graphnet,ester-benzene,47,-0.29999999999999993
CAM,graphnet,ester-benzene,48,0.27333333333333326
CAM,graphnet,ester-benzene,49,0.0
CAM,graphnet,ester-benzene,50,0.25999999999999995
CAM,graphnet,ester-benzene,51,0.25999999999999995
CAM,graphnet,ester-phenyl,42,0.03999999999999999
CAM,graphnet,ester-phenyl,43,0.07333333333333332
CAM,graphnet,ester-phenyl,44,0.05333333333333332
CAM,graphnet,ester-phenyl,45,0.4266666666666666
CAM,graphnet,ester-phenyl,46,0.17333333333333328
CAM,graphnet,ester-phenyl,47,0.41999999999999993
CAM,graphnet,ester-phenyl,48,0.21999999999999997
CAM,graphnet,ester-phenyl,49,0.006666666666666665
CAM,graphnet,ester-phenyl,50,0.0
CAM,graphnet,ester-phenyl,51,0.2133333333333333
CAM,graphnet,morpholine-benzene,42,-0.07999999999999997
CAM,graphnet,morpholine-benzene,43,0.06666666666666665
CAM,graphnet,morpholine-benzene,44,-0.21428571428571427
CAM,graphnet,morpholine-benzene,45,-0.07333333333333332
CAM,graphnet,morpholine-benzene,46,0.021739130434782608
CAM,graphnet,morpholine-benzene,47,0.03999999999999999
CAM,graphnet,morpholine-benzene,48,0.08666666666666664
CAM,graphnet,morpholine-benzene,49,0.20666666666666664
CAM,graphnet,morpholine-benzene,50,0.08571428571428572
CAM,graphnet,morpholine-benzene,51,0.18666666666666662
CAM,graphnet,piperdine-benzene,42,-0.006666666666666665
CAM,graphnet,piperdine-benzene,43,0.08666666666666664
CAM,graphnet,piperdine-benzene,44,0.4492753623188406
CAM,graphnet,piperdine-benzene,45,-0.07352941176470587
CAM,graphnet,piperdine-benzene,46,-0.07999999999999997
CAM,graphnet,piperdine-benzene,47,0.29999999999999993
CAM,graphnet,piperdine-benzene,48,0.1933333333333333
CAM,graphnet,piperdine-benzene,49,0.09956709956709957
CAM,graphnet,piperdine-benzene,50,0.29999999999999993
CAM,graphnet,piperdine-benzene,51,0.23999999999999996
CAM,graphnet,unbrch_alkane-benzene,42,0.39333333333333326
CAM,graphnet,unbrch_alkane-benzene,43,0.34666666666666657
CAM,graphnet,unbrch_alkane-benzene,44,0.3999999999999999
CAM,graphnet,unbrch_alkane-benzene,45,0.4599999999999999
CAM,graphnet,unbrch_alkane-benzene,46,0.06666666666666665
CAM,graphnet,unbrch_alkane-benzene,47,0.23999999999999996
CAM,graphnet,unbrch_alkane-benzene,48,0.1533333333333333
CAM,graphnet,unbrch_alkane-benzene,49,-0.006666666666666665
CAM,graphnet,unbrch_alkane-benzene,50,0.39333333333333326
CAM,graphnet,unbrch_alkane-benzene,51,0.4133333333333333
CAM,mpnn,ester-benzene,42,0.4799999999999999
CAM,mpnn,ester-benzene,43,0.39333333333333326
CAM,mpnn,ester-benzene,44,0.6466666666666666
CAM,mpnn,ester-benzene,45,0.5199999999999999
CAM,mpnn,ester-benzene,46,0.08666666666666664
CAM,mpnn,ester-benzene,47,0.43999999999999995
CAM,mpnn,ester-benzene,48,0.21739130434782608
CAM,mpnn,ester-benzene,49,0.046666666666666655
CAM,mpnn,ester-benzene,50,0.18666666666666662
CAM,mpnn,ester-benzene,51,0.3133333333333333
CAM,mpnn,ester-phenyl,42,0.05999999999999999
CAM,mpnn,ester-phenyl,43,0.07602339181286549
CAM,mpnn,ester-phenyl,44,-0.07333333333333332
CAM,mpnn,ester-phenyl,45,0.16666666666666663
CAM,mpnn,ester-phenyl,46,-0.37333333333333324
CAM,mpnn,ester-phenyl,47,-0.21739130434782608
CAM,mpnn,ester-phenyl,48,0.09999999999999998
CAM,mpnn,ester-phenyl,49,0.2866666666666666
CAM,mpnn,ester-phenyl,50,-0.07333333333333332
CAM,mpnn,ester-phenyl,51,0.02666666666666666
CAM,mpnn,morpholine-benzene,42,0.41304347826086957
CAM,mpnn,morpholine-benzene,43,0.6066666666666666
CAM,mpnn,morpholine-benzene,44,0.6014492753623188
CAM,mpnn,morpholine-benzene,45,0.5599999999999998
CAM,mpnn,morpholine-benzene,46,0.4133333333333333
CAM,mpnn,morpholine-benzene,47,0.3666666666666666
CAM,mpnn,morpholine-benzene,48,0.5799999999999998
CAM,mpnn,morpholine-benzene,49,0.5599999999999998
CAM,mpnn,morpholine-benzene,50,0.21999999999999997
CAM,mpnn,morpholine-benzene,51,0.5666666666666667
CAM,mpnn,piperdine-benzene,42,0.5733333333333333
CAM,mpnn,piperdine-benzene,43,0.5733333333333333
CAM,mpnn,piperdine-benzene,44,0.07246376811594202
CAM,mpnn,piperdine-benzene,45,0.5238095238095238
CAM,mpnn,piperdine-benzene,46,0.41999999999999993
CAM,mpnn,piperdine-benzene,47,0.7866666666666665
CAM,mpnn,piperdine-benzene,48,0.3133333333333333
CAM,mpnn,piperdine-benzene,49,0.25333333333333324
CAM,mpnn,piperdine-benzene,50,0.40711462450592883
CAM,mpnn,piperdine-benzene,51,0.14285714285714285
CAM,mpnn,unbrch_alkane-benzene,42,0.5666666666666667
CAM,mpnn,unbrch_alkane-benzene,43,0.5733333333333333
CAM,mpnn,unbrch_alkane-benzene,44,0.6333333333333332
CAM,mpnn,unbrch_alkane-benzene,45,0.6333333333333332
CAM,mpnn,unbrch_alkane-benzene,46,0.43999999999999995
CAM,mpnn,unbrch_alkane-benzene,47,0.5466666666666665
CAM,mpnn,unbrch_alkane-benzene,48,0.2666666666666666
CAM,mpnn,unbrch_alkane-benzene,49,0.5599999999999998
CAM,mpnn,unbrch_alkane-benzene,50,0.41999999999999993
CAM,mpnn,unbrch_alkane-benzene,51,0.5066666666666665
GradCAM-all,gcn,ester-benzene,42,-0.16666666666666663
GradCAM-all,gcn,ester-benzene,43,0.18666666666666662
GradCAM-all,gcn,ester-benzene,44,-0.07333333333333332
GradCAM-all,gcn,ester-benzene,45,-0.06666666666666665
GradCAM-all,gcn,ester-benzene,46,-0.13999999999999996
GradCAM-all,gcn,ester-benzene,47,0.08666666666666664
GradCAM-all,gcn,ester-benzene,48,0.006666666666666665
GradCAM-all,gcn,ester-benzene,49,0.07999999999999997
GradCAM-all,gcn,ester-benzene,50,-0.24666666666666665
GradCAM-all,gcn,ester-benzene,51,-0.17333333333333328
GradCAM-all,gcn,ester-phenyl,42,0.20666666666666664
GradCAM-all,gcn,ester-phenyl,43,-0.20666666666666664
GradCAM-all,gcn,ester-phenyl,44,-0.12666666666666662
GradCAM-all,gcn,ester-phenyl,45,0.046666666666666655
GradCAM-all,gcn,ester-phenyl,46,0.08666666666666664
GradCAM-all,gcn,ester-phenyl,47,0.1933333333333333
GradCAM-all,gcn,ester-phenyl,48,-0.3066666666666666
GradCAM-all,gcn,ester-phenyl,49,0.1533333333333333
GradCAM-all,gcn,ester-phenyl,50,-0.033333333333333326
GradCAM-all,gcn,ester-phenyl,51,-0.23999999999999996
GradCAM-all,gcn,morpholine-benzene,42,0.2391304347826087
GradCAM-all,gcn,morpholine-benzene,43,0.07999999999999997
GradCAM-all,gcn,morpholine-benzene,44,0.23333333333333328
GradCAM-all,gcn,morpholine-benzene,45,0.05333333333333332
GradCAM-all,gcn,morpholine-benzene,46,0.1933333333333333
GradCAM-all,gcn,morpholine-benzene,47,-0.22666666666666663
GradCAM-all,gcn,morpholine-benzene,48,-0.11333333333333331
GradCAM-all,gcn,morpholine-benzene,49,0.1933333333333333
GradCAM-all,gcn,morpholine-benzene,50,-0.10666666666666665
GradCAM-all,gcn,morpholine-benzene,51,0.09999999999999998
GradCAM-all,gcn,piperdine-benzene,42,-0.35999999999999993
GradCAM-all,gcn,piperdine-benzene,43,-0.2933333333333333
GradCAM-all,gcn,piperdine-benzene,44,0.0
GradCAM-all,gcn,piperdine-benzene,45,-0.391304347826087
GradCAM-all,gcn,piperdine-benzene,46,-0.043478260869565216
GradCAM-all,gcn,piperdine-benzene,47,-0.25333333333333324
GradCAM-all,gcn,piperdine-benzene,48,-0.2799999999999999
GradCAM-all,gcn,piperdine-benzene,49,-0.4999999999999999
GradCAM-all,gcn,piperdine-benzene,50,-0.25333333333333324
GradCAM-all,gcn,piperdine-benzene,51,-0.11999999999999998
GradCAM-all,gcn,unbrch_alkane-benzene,42,-0.20666666666666664
GradCAM-all,gcn,unbrch_alkane-benzene,43,0.4599999999999999
GradCAM-all,gcn,unbrch_alkane-benzene,44,0.16666666666666663
GradCAM-all,gcn,unbrch_alkane-benzene,45,-0.23333333333333328
GradCAM-all,gcn,unbrch_alkane-benzene,46,-0.13999999999999996
GradCAM-all,gcn,unbrch_alkane-benzene,47,0.25999999999999995
GradCAM-all,gcn,unbrch_alkane-benzene,48,-0.15999999999999995
GradCAM-all,gcn,unbrch_alkane-benzene,49,-0.006666666666666665
GradCAM-all,gcn,unbrch_alkane-benzene,50,-0.08666666666666664
GradCAM-all,gcn,unbrch_alkane-benzene,51,0.05333333333333332
GradCAM-all,graphnet,ester-benzene,42,0.7333333333333332
GradCAM-all,graphnet,ester-benzene,43,0.8799999999999999
GradCAM-all,graphnet,ester-benzene,44,0.6333333333333332
GradCAM-all,graphnet,ester-benzene,45,0.6066666666666666
GradCAM-all,graphnet,ester-benzene,46,0.6133333333333332
GradCAM-all,graphnet,ester-benzene,47,0.7533333333333332
GradCAM-all,graphnet,ester-benzene,48,0.7466666666666665
GradCAM-all,graphnet,ester-benzene,49,0.4866666666666665
GradCAM-all,graphnet,ester-benzene,50,0.5799999999999998
GradCAM-all,graphnet,ester-benzene,51,0.8866666666666665
GradCAM-all,graphnet,ester-phenyl,42,-0.11999999999999998
GradCAM-all,graphnet,ester-phenyl,43,-0.23999999999999996
GradCAM-all,graphnet,ester-phenyl,44,-0.14666666666666664
GradCAM-all,graphnet,ester-phenyl,45,0.11999999999999998
GradCAM-all,graphnet,ester-phenyl,46,-0.2133333333333333
GradCAM-all,graphnet,ester-phenyl,47,-0.3266666666666666
GradCAM-all,graphnet,ester-phenyl,48,-0.16666666666666663
GradCAM-all,graphnet,ester-phenyl,49,-0.3999999999999999
GradCAM-all,graphnet,ester-phenyl,50,-0.06666666666666665
GradCAM-all,graphnet,ester-phenyl,51,-0.46666666666666656
GradCAM-all,graphnet,morpholine-benzene,42,0.08666666666666664
GradCAM-all,graphnet,morpholine-benzene,43,0.4599999999999999
GradCAM-all,graphnet,morpholine-benzene,44,0.4999999999999999
GradCAM-all,graphnet,morpholine-benzene,45,0.1933333333333333
GradCAM-all,graphnet,morpholine-benzene,46,0.09420289855072464
GradCAM-all,graphnet,morpholine-benzene,47,0.18666666666666662
GradCAM-all,graphnet,morpholine-benzene,48,0.45333333333333325
GradCAM-all,graphnet,morpholine-benzene,49,0.6066666666666666
GradCAM-all,graphnet,morpholine-benzene,50,0.4952380952380953
GradCAM-all,graphnet,morpholine-benzene,51,0.5066666666666665
GradCAM-all,graphnet,piperdine-benzene,42,0.3866666666666666
GradCAM-all,graphnet,piperdine-benzene,43,0.10666666666666665
GradCAM-all,graphnet,piperdine-benzene,44,0.10144927536231883
GradCAM-all,graphnet,piperdine-benzene,45,-0.014705882352941175
GradCAM-all,graphnet,piperdine-benzene,46,0.1533333333333333
GradCAM-all,graphnet,piperdine-benzene,47,0.019999999999999993
GradCAM-all,graphnet,piperdine-benzene,48,0.17999999999999997
GradCAM-all,graphnet,piperdine-benzene,49,-0.07359307359307359
GradCAM-all,graphnet,piperdine-benzene,50,0.033333333333333326
GradCAM-all,graphnet,piperdine-benzene,51,0.4599999999999999
GradCAM-all,graphnet,unbrch_alkane-benzene,42,-0.18666666666666662
GradCAM-all,graphnet,unbrch_alkane-benzene,43,0.15999999999999995
GradCAM-all,graphnet,unbrch_alkane-benzene,44,-0.05333333333333332
GradCAM-all,graphnet,unbrch_alkane-benzene,45,0.3399999999999999
GradCAM-all,graphnet,unbrch_alkane-benzene,46,0.14666666666666664
GradCAM-all,graphnet,unbrch_alkane-benzene,47,0.16666666666666663
GradCAM-all,graphnet,unbrch_alkane-benzene,48,-0.06666666666666665
GradCAM-all,graphnet,unbrch_alkane-benzene,49,0.09999999999999998
GradCAM-all,graphnet,unbrch_alkane-benzene,50,0.23333333333333328
GradCAM-all,graphnet,unbrch_alkane-benzene,51,0.11333333333333331
GradCAM-all,mpnn,ester-benzene,42,0.07999999999999997
GradCAM-all,mpnn,ester-benzene,43,-0.20666666666666664
GradCAM-all,mpnn,ester-benzene,44,-0.07333333333333332
GradCAM-all,mpnn,ester-benzene,45,-0.2666666666666666
GradCAM-all,mpnn,ester-benzene,46,-0.2933333333333333
GradCAM-all,mpnn,ester-benzene,47,-0.05999999999999999
GradCAM-all,mpnn,ester-benzene,48,-0.16666666666666669
GradCAM-all,mpnn,ester-benzene,49,-0.19999999999999996
GradCAM-all,mpnn,ester-benzene,50,-0.16666666666666663
GradCAM-all,mpnn,ester-benzene,51,-0.5666666666666667
GradCAM-all,mpnn,ester-phenyl,42,-0.03999999999999999
GradCAM-all,mpnn,ester-phenyl,43,0.06432748538011696
GradCAM-all,mpnn,ester-phenyl,44,-0.05999999999999999
GradCAM-all,mpnn,ester-phenyl,45,-0.11999999999999998
GradCAM-all,mpnn,ester-phenyl,46,-0.3199999999999999
GradCAM-all,mpnn,ester-phenyl,47,0.2536231884057971
GradCAM-all,mpnn,ester-phenyl,48,-0.1333333333333333
GradCAM-all,mpnn,ester-phenyl,49,0.1933333333333333
GradCAM-all,mpnn,ester-phenyl,50,-0.07333333333333332
GradCAM-all,mpnn,ester-phenyl,51,-0.11333333333333331
GradCAM-all,mpnn,morpholine-benzene,42,-0.13043478260869565
GradCAM-all,mpnn,morpholine-benzene,43,-0.033333333333333326
GradCAM-all,mpnn,morpholine-benzene,44,-0.007246376811594203
GradCAM-all,mpnn,morpholine-benzene,45,-0.1533333333333333
GradCAM-all,mpnn,morpholine-benzene,46,0.019999999999999993
GradCAM-all,mpnn,morpholine-benzene,47,-0.09999999999999998
GradCAM-all,mpnn,morpholine-benzene,48,0.0
GradCAM-all,mpnn,morpholine-benzene,49,-0.1533333333333333
GradCAM-all,mpnn,morpholine-benzene,50,-0.15999999999999995
GradCAM-all,mpnn,morpholine-benzene,51,-0.2133333333333333
GradCAM-all,mpnn,piperdine-benzene,42,-0.2133333333333333
GradCAM-all,mpnn,piperdine-benzene,43,-0.3066666666666666
GradCAM-all,mpnn,piperdine-benzene,44,-0.07246376811594202
GradCAM-all,mpnn,piperdine-benzene,45,-0.21904761904761905
GradCAM-all,mpnn,piperdine-benzene,46,0.046666666666666655
GradCAM-all,mpnn,piperdine-benzene,47,-0.05333333333333332
GradCAM-all,mpnn,piperdine-benzene,48,-0.20666666666666664
GradCAM-all,mpnn,piperdine-benzene,49,-0.07999999999999997
GradCAM-all,mpnn,piperdine-benzene,50,-0.09881422924901187
GradCAM-all,mpnn,piperdine-benzene,51,-0.11688311688311688
GradCAM-all,mpnn,unbrch_alkane-benzene,42,-0.12666666666666662
GradCAM-all,mpnn,unbrch_alkane-benzene,43,-0.45333333333333325
GradCAM-all,mpnn,unbrch_alkane-benzene,44,-0.11999999999999998
GradCAM-all,mpnn,unbrch_alkane-benzene,45,-0.10666666666666665
GradCAM-all,mpnn,unbrch_alkane-benzene,46,0.08666666666666664
GradCAM-all,mpnn,unbrch_alkane-benzene,47,-0.16666666666666663
GradCAM-all,mpnn,unbrch_alkane-benzene,48,-0.07333333333333332
GradCAM-all,mpnn,unbrch_alkane-benzene,49,0.05333333333333332
GradCAM-all,mpnn,unbrch_alkane-benzene,50,-0.07333333333333332
GradCAM-all,mpnn,unbrch_alkane-benzene,51,0.05333333333333332
GradCAM-last,gcn,ester-benzene,42,-0.05999999999999999
GradCAM-last,gcn,ester-benzene,43,0.3133333333333333
GradCAM-last,gcn,ester-benzene,44,0.01333333333333333
GradCAM-last,gcn,ester-benzene,45,-0.06666666666666665
GradCAM-last,gcn,ester-benzene,46,-0.03999999999999999
GradCAM-last,gcn,ester-benzene,47,0.05333333333333332
GradCAM-last,gcn,ester-benzene,48,0.16666666666666663
GradCAM-last,gcn,ester-benzene,49,0.05333333333333332
GradCAM-last,gcn,ester-benzene,50,-0.18666666666666662
GradCAM-last,gcn,ester-benzene,51,0.019999999999999993
GradCAM-last,gcn,ester-phenyl,42,0.25999999999999995
GradCAM-last,gcn,ester-phenyl,43,-0.12666666666666662
GradCAM-last,gcn,ester-phenyl,44,-0.02666666666666666
GradCAM-last,gcn,ester-phenyl,45,0.15999999999999995
GradCAM-last,gcn,ester-phenyl,46,-0.01333333333333333
GradCAM-last,gcn,ester-phenyl,47,0.07999999999999997
GradCAM-last,gcn,ester-phenyl,48,-0.11333333333333331
GradCAM-last,gcn,ester-phenyl,49,0.27333333333333326
GradCAM-last,gcn,ester-phenyl,50,0.17999999999999997
GradCAM-last,gcn,ester-phenyl,51,-0.06666666666666665
GradCAM-last,gcn,morpholine-benzene,42,0.2753623188405797
GradCAM-last,gcn,morpholine-benzene,43,0.1333333333333333
GradCAM-last,gcn,morpholine-benzene,44,0.2866666666666666
GradCAM-last,gcn,morpholine-benzene,45,0.046666666666666655
GradCAM-last,gcn,morpholine-benzene,46,0.11333333333333331
GradCAM-last,gcn,morpholine-benzene,47,-0.14666666666666664
GradCAM-last,gcn,morpholine-benzene,48,-0.14666666666666664
GradCAM-last,gcn,morpholine-benzene,49,0.11999999999999998
GradCAM-last,gcn,morpholine-benzene,50,-0.11999999999999998
GradCAM-last,gcn,morpholine-benzene,51,0.27333333333333326
GradCAM-last,gcn,piperdine-benzene,42,-0.4599999999999999
GradCAM-last,gcn,piperdine-benzene,43,-0.37999999999999995
GradCAM-last,gcn,piperdine-benzene,44,-0.1533333333333333
GradCAM-last,gcn,piperdine-benzene,45,-0.3359683794466403
GradCAM-last,gcn,piperdine-benzene,46,-0.18115942028985507
GradCAM-last,gcn,piperdine-benzene,47,-0.3999999999999999
GradCAM-last,gcn,piperdine-benzene,48,-0.22666666666666663
GradCAM-last,gcn,piperdine-benzene,49,-0.5133333333333333
GradCAM-last,gcn,piperdine-benzene,50,-0.2933333333333333
GradCAM-last,gcn,piperdine-benzene,51,-0.18666666666666662
GradCAM-last,gcn,unbrch_alkane-benzene,42,-0.34666666666666657
GradCAM-last,gcn,unbrch_alkane-benzene,43,0.34666666666666657
GradCAM-last,gcn,unbrch_alkane-benzene,44,0.11333333333333331
GradCAM-last,gcn,unbrch_alkane-benzene,45,-0.2799999999999999
GradCAM-last,gcn,unbrch_alkane-benzene,46,-0.23999999999999996
GradCAM-last,gcn,unbrch_alkane-benzene,47,0.01333333333333333
GradCAM-last,gcn,unbrch_alkane-benzene,48,-0.3199999999999999
GradCAM-last,gcn,unbrch_alkane-benzene,49,-0.21999999999999997
GradCAM-last,gcn,unbrch_alkane-benzene,50,-0.07333333333333332
GradCAM-last,gcn,unbrch_alkane-benzene,51,-0.18666666666666662
GradCAM-last,graphnet,ester-benzene,42,0.7733333333333332
